ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,ADM3_REF,ADM3ALT1EN,Shape_Leng,Shape_Area,AREA_SQKM,SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCFID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOK_LAT,TOK_LON,TOK_GRADE,TOK_WIND,TOK_PRES,TOK_R50_DR,TOK_R50_L,TOK_R50_S,TOK_R30_DR,TOK_R30_L,TOK_R30_S,TOK_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,KMA_LAT,KMA_LON,KMA_CAT,KMA_WIND,KMA_PRES,KMA_R50_DR,KMA_R50_L,KMA_R50_S,KMA_R30_DR,KMA_R30_L,KMA_R30_S,NEW_LAT,NEW_LON,NEW_GRADE,NEW_WIND,NEW_PRES,NEW_CI,NEW_DP,NEW_POCI,REU_LAT,REU_LON,REU_TYPE,REU_WIND,REU_PRES,REU_TNUM,REU_CI,REU_RMW,REU_R34_NE,REU_R34_SE,REU_R34_SW,REU_R34_NW,REU_R50_NE,REU_R50_SE,REU_R50_SW,REU_R50_NW,REU_R64_NE,REU_R64_SE,REU_R64_SW,REU_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_FL,BOM_PRS_FL,NAD_LAT,NAD_LON,NAD_CAT,NAD_WIND,NAD_PRES,WEL_LAT,WEL_LON,WEL_WIND,WEL_PRES,DS8_LAT,DS8_LON,DS8_STAGE,DS8_WIND,DS8_PRES,TD6_LAT,TD6_LON,TD6_STAGE,TD6_WIND,TD6_PRES,TD5_LAT,TD5_LON,TD5_WIND,TD5_PRES,TD5_ROCI,NEU_LAT,NEU_LON,NEU_CLASS,NEU_WIND,NEU_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUSTP,REU_GUST,REU_GUSTP,USA_SEAHGT,USA_SEA_NE,USA_SEA_SE,USA_SEA_SW,USA_SEA_NW,STORM_SPD,STORM_DR,year,month,day,hour,min
Orani,PH0300809,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.61338367921,0.00450480925,53.65953608870,1999288N12129,"1999","88",WP,MM,EVE,1999-10-16 18:00:00,TS,14.80,120.50,,"1004",tokyo,main,"0","0",OO_____________,jtwc_wp,WP271999,14.70,120.10,,,"25",,"-1",,,,,,,,,,,,,,,,,14.80,120.90,"2",,"1004","0",,,"0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","300","1999","10","16","18","0"
Orani,PH0300809,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.61338367921,0.00450480925,53.65953608870,2000299N08139,"2000","97",WP,MM,XANGSANE,2000-10-28 12:00:00,TS,14.60,120.60,"45","990",tokyo,main,"0","0",OOOO___________,jtwc_wp,WP302000,14.60,120.60,,TY,"65",,"1",,,,,,,,,,,,,,,,,14.80,120.50,"3","45","990","0",,,"9","180","180","0",14.50,120.50,"3","48","985",14.60,120.60,ST,"55","980",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","310","2000","10","28","12","0"
Orion,PH0300810,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.56384007904,0.00751869478,89.63981218680,1980197N15133,"1980","46",WP,MM,UNNAMED,1980-07-16 12:00:00,TS,14.60,120.70,,,,main,"10","0",O_OO______OO___,jtwc_wp,WP101980,14.40,120.80,,,"25",,"-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.20,120.30,"1","29","1004",14.40,120.70,TD,"30","1006",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40,120.80,TC,"25",,14.40,120.80,"1","25",,,,,,,,,,,,,,,,,,,,,,,,,,,"14","280","1980","7","16","12","0"
Orion,PH0300810,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.56384007904,0.00751869478,89.63981218680,1983186N04153,"1983","29",WP,MM,VERA,1983-07-15 03:00:00,TS,14.50,120.80,,,,main,"11","0",PPPP_______P___,,WP031983,14.40,120.90,,,"65",,"1",,,,,,,,,,,,,,,,,14.60,120.60,"4","58","980","9","25","25","9","100","100",,14.30,120.80,"3","58","981",14.40,120.80,T,"63","975",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,120.90,"4","68",,,,,,,,,,,,,,,,,,,,,,,,,,,"11","295","1983","7","15","3","0"
Orion,PH0300810,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.56384007904,0.00751869478,89.63981218680,2000299N08139,"2000","97",WP,MM,XANGSANE,2000-10-28 12:00:00,TS,14.60,120.60,"45","990",tokyo,main,"0","0",OOOO___________,jtwc_wp,WP302000,14.60,120.60,,TY,"65",,"1",,,,,,,,,,,,,,,,,14.80,120.50,"3","45","990","0",,,"9","180","180","0",14.50,120.50,"3","48","985",14.60,120.60,ST,"55","980",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","310","2000","10","28","12","0"
Orion,PH0300810,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.56384007904,0.00751869478,89.63981218680,2006268N12129,"2006","75",WP,MM,XANGSANE,2006-09-28 03:00:00,TS,14.30,121.00,,,,main,"0","0",PPPP___________,,WP182006,14.50,121.10,,TY,"108","936","3","113","125","130","105","45","45","45","45","25","25","25","25","1007","198","10",,14.20,121.10,"5","63","973","9","33","33","9","140","140",,14.30,121.10,"4","73","965",14.30,121.00,T,"80","955",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","300","2006","9","28","3","0"
Pilar,PH0300811,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.43888831084,0.00382153831,45.55326178570,1980197N15133,"1980","46",WP,MM,UNNAMED,1980-07-16 12:00:00,TS,14.60,120.70,,,,main,"10","0",O_OO______OO___,jtwc_wp,WP101980,14.40,120.80,,,"25",,"-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.20,120.30,"1","29","1004",14.40,120.70,TD,"30","1006",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40,120.80,TC,"25",,14.40,120.80,"1","25",,,,,,,,,,,,,,,,,,,,,,,,,,,"14","280","1980","7","16","12","0"
Pilar,PH0300811,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.43888831084,0.00382153831,45.55326178570,1983186N04153,"1983","29",WP,MM,VERA,1983-07-15 03:00:00,TS,14.50,120.80,,,,main,"11","0",PPPP_______P___,,WP031983,14.40,120.90,,,"65",,"1",,,,,,,,,,,,,,,,,14.60,120.60,"4","58","980","9","25","25","9","100","100",,14.30,120.80,"3","58","981",14.40,120.80,T,"63","975",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,120.90,"4","68",,,,,,,,,,,,,,,,,,,,,,,,,,,"11","295","1983","7","15","3","0"
Pilar,PH0300811,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.43888831084,0.00382153831,45.55326178570,1992289N08135,"1992","101",WP,MM,COLLEEN,1992-10-26 00:00:00,TS,14.80,121.00,"55","980",tokyo,main,"0","0",OOOO___________,jtwc_wp,WP261992,14.60,120.90,,,"55",,"0",,,,,,,,,,,,,,,,,15.00,121.00,"4","55","980","9","40","40","7","300","270","0",14.90,121.10,"3","58","980",14.50,121.10,TS,"40","985",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14","260","1992","10","26","0","0"
Pilar,PH0300811,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.43888831084,0.00382153831,45.55326178570,2000299N08139,"2000","97",WP,MM,XANGSANE,2000-10-28 12:00:00,TS,14.60,120.60,"45","990",tokyo,main,"0","0",OOOO___________,jtwc_wp,WP302000,14.60,120.60,,TY,"65",,"1",,,,,,,,,,,,,,,,,14.80,120.50,"3","45","990","0",,,"9","180","180","0",14.50,120.50,"3","48","985",14.60,120.60,ST,"55","980",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","310","2000","10","28","12","0"
Pilar,PH0300811,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.43888831084,0.00382153831,45.55326178570,2006268N12129,"2006","75",WP,MM,XANGSANE,2006-09-28 03:00:00,TS,14.30,121.00,,,,main,"0","0",PPPP___________,,WP182006,14.50,121.10,,TY,"108","936","3","113","125","130","105","45","45","45","45","25","25","25","25","1007","198","10",,14.20,121.10,"5","63","973","9","33","33","9","140","140",,14.30,121.10,"4","73","965",14.30,121.00,T,"80","955",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","300","2006","9","28","3","0"
Samal,PH0300812,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.47997509470,0.00398826658,47.51322861390,1995277N07141,"1995","73",WP,MM,TED,1995-10-08 06:00:00,TS,14.70,120.60,,"1006",tokyo,main,"0","0",OO_____________,jtwc_wp,WP241995,14.50,121.30,,,"20",,"-1",,,,,,,,,,,,,,,,,14.80,119.80,"2",,"1006","0",,,"0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11","295","1995","10","8","6","0"
Samal,PH0300812,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.47997509470,0.00398826658,47.51322861390,1999288N12129,"1999","88",WP,MM,EVE,1999-10-16 15:00:00,TS,14.60,120.90,,,,main,"10","0",PP_____________,,WP271999,14.50,120.60,,,"25",,"-1",,,,,,,,,,,,,,,,,14.60,121.30,"2",,"1004","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10","295","1999","10","16","15","0"
Samal,PH0300812,Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.47997509470,0.00398826658,47.51322861390,2000299N08139,"2000","97",WP,MM,XANGSANE,2000-10-28 12:00:00,TS,14.60,120.60,"45","990",tokyo,main,"0","0",OOOO___________,jtwc_wp,WP302000,14.60,120.60,,TY,"65",,"1",,,,,,,,,,,,,,,,,14.80,120.50,"3","45","990","0",,,"9","180","180","0",14.50,120.50,"3","48","985",14.60,120.60,ST,"55","980",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","310","2000","10","28","12","0"
Bulakan,PH0301405,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.46954139279,0.00607221215,72.33712004760,1986275N10134,"1986","91",WP,MM,DOM,1986-10-06 03:00:00,TS,14.80,120.90,,,,main,"0","0",_PPP_______P___,,,,,,,,,"-5",,,,,,,,,,,,,,,,,14.90,120.80,"2",,"1006","0",,,"0",,,,14.90,121.80,"1","29","1003",15.00,121.00,TD,"25","1005",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,120.40,"1","29",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","265","1986","10","6","3","0"
Bulakan,PH0301405,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.46954139279,0.00607221215,72.33712004760,1992289N08135,"1992","101",WP,MM,COLLEEN,1992-10-26 00:00:00,TS,14.80,121.00,"55","980",tokyo,main,"0","0",OOOO___________,jtwc_wp,WP261992,14.60,120.90,,,"55",,"0",,,,,,,,,,,,,,,,,15.00,121.00,"4","55","980","9","40","40","7","300","270","0",14.90,121.10,"3","58","980",14.50,121.10,TS,"40","985",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14","260","1992","10","26","0","0"
Bulakan,PH0301405,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.46954139279,0.00607221215,72.33712004760,1994169N06152,"1994","34",WP,MM,SHARON,1994-06-23 00:00:00,TS,14.80,120.90,,"1004",tokyo,main,"0","0",OOO____________,jtwc_wp,WP061994,14.90,121.30,,,"25",,"-1",,,,,,,,,,,,,,,,,15.00,120.80,"2",,"1004","0",,,"0",,,"0",14.50,120.50,"1","23","1004",,,,,,,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","295","1994","6","23","0","0"
Bulakan,PH0301405,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.46954139279,0.00607221215,72.33712004760,2022299N11134,"2022","100",WP,MM,NALGAE,2022-10-29 12:00:00,TS,14.60,121.10,"50","985",tokyo,main,"0","0",OOOOO__________,jtwc_wp,WP262022,14.60,121.00,,TS,"45","993","0","150","125","80","250",,,,,,,,,"1005","300","25",,14.70,121.10,"4","50","985","0",,,"8","400","350","0",14.50,121.10,"3","54","982",14.60,121.10,ST,"50","984",14.60,121.10,STS,"52","985","135","43","32","135","189","146",,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","315","2022","10","29","12","0"
Hagonoy,PH0301409,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.54623276675,0.00700192410,83.39439845610,1986275N10134,"1986","91",WP,MM,DOM,1986-10-06 03:00:00,TS,14.80,120.90,,,,main,"0","0",_PPP_______P___,,,,,,,,,"-5",,,,,,,,,,,,,,,,,14.90,120.80,"2",,"1006","0",,,"0",,,,14.90,121.80,"1","29","1003",15.00,121.00,TD,"25","1005",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,120.40,"1","29",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","265","1986","10","6","3","0"
Hagonoy,PH0301409,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.54623276675,0.00700192410,83.39439845610,1986275N10134,"1986","91",WP,MM,DOM,1986-10-06 06:00:00,TS,14.80,120.70,,"1006",tokyo,main,"0","0",_OOO_______P___,,,,,,,,,"-5",,,,,,,,,,,,,,,,,14.80,120.50,"2",,"1006","0",,,"0",,,"0",14.90,121.50,"1","29","1001",15.00,120.70,TD,"25","1006",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.60,120.20,"1","28",,,,,,,,,,,,,,,,,,,,,,,,,,,"4","260","1986","10","6","6","0"
Hagonoy,PH0301409,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.54623276675,0.00700192410,83.39439845610,1994169N06152,"1994","34",WP,MM,SHARON,1994-06-23 00:00:00,TS,14.80,120.90,,"1004",tokyo,main,"0","0",OOO____________,jtwc_wp,WP061994,14.90,121.30,,,"25",,"-1",,,,,,,,,,,,,,,,,15.00,120.80,"2",,"1004","0",,,"0",,,"0",14.50,120.50,"1","23","1004",,,,,,,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","295","1994","6","23","0","0"
Hagonoy,PH0301409,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.54623276675,0.00700192410,83.39439845610,2022299N11134,"2022","100",WP,MM,NALGAE,2022-10-29 12:00:00,TS,14.60,121.10,"50","985",tokyo,main,"0","0",OOOOO__________,jtwc_wp,WP262022,14.60,121.00,,TS,"45","993","0","150","125","80","250",,,,,,,,,"1005","300","25",,14.70,121.10,"4","50","985","0",,,"8","400","350","0",14.50,121.10,"3","54","982",14.60,121.10,ST,"50","984",14.60,121.10,STS,"52","985","135","43","32","135","189","146",,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","315","2022","10","29","12","0"
City of Malolos (Capital),PH0301410,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.61820514267,0.00594809659,70.83791751850,1986275N10134,"1986","91",WP,MM,DOM,1986-10-06 03:00:00,TS,14.80,120.90,,,,main,"0","0",_PPP_______P___,,,,,,,,,"-5",,,,,,,,,,,,,,,,,14.90,120.80,"2",,"1006","0",,,"0",,,,14.90,121.80,"1","29","1003",15.00,121.00,TD,"25","1005",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,120.40,"1","29",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","265","1986","10","6","3","0"
City of Malolos (Capital),PH0301410,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.61820514267,0.00594809659,70.83791751850,1994169N06152,"1994","34",WP,MM,SHARON,1994-06-23 00:00:00,TS,14.80,120.90,,"1004",tokyo,main,"0","0",OOO____________,jtwc_wp,WP061994,14.90,121.30,,,"25",,"-1",,,,,,,,,,,,,,,,,15.00,120.80,"2",,"1004","0",,,"0",,,"0",14.50,120.50,"1","23","1004",,,,,,,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","295","1994","6","23","0","0"
City of Malolos (Capital),PH0301410,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.61820514267,0.00594809659,70.83791751850,2022299N11134,"2022","100",WP,MM,NALGAE,2022-10-29 12:00:00,TS,14.60,121.10,"50","985",tokyo,main,"0","0",OOOOO__________,jtwc_wp,WP262022,14.60,121.00,,TS,"45","993","0","150","125","80","250",,,,,,,,,"1005","300","25",,14.70,121.10,"4","50","985","0",,,"8","400","350","0",14.50,121.10,"3","54","982",14.60,121.10,ST,"50","984",14.60,121.10,STS,"52","985","135","43","32","135","189","146",,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","315","2022","10","29","12","0"
Obando,PH0301414,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.25282517820,0.00136022394,16.20758215810,2000305N06136,"2000","101",WP,MM,BEBINCA,2000-11-02 18:00:00,TS,14.60,121.50,"50","990",tokyo,main,"0","0",OOOO___________,jtwc_wp,WP312000,14.50,121.40,,TY,"85",,"2",,,,,,,,,,,,,,,,,14.60,121.50,"4","50","990","0",,,"9","120","120","0",14.70,121.50,"4","64","975",14.60,121.50,ST,"60","975",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10","275","2000","11","2","18","0"
Paombong,PH0301416,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.40674517724,0.00380208511,45.28503144730,1986275N10134,"1986","91",WP,MM,DOM,1986-10-06 03:00:00,TS,14.80,120.90,,,,main,"0","0",_PPP_______P___,,,,,,,,,"-5",,,,,,,,,,,,,,,,,14.90,120.80,"2",,"1006","0",,,"0",,,,14.90,121.80,"1","29","1003",15.00,121.00,TD,"25","1005",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,120.40,"1","29",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","265","1986","10","6","3","0"
Paombong,PH0301416,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.40674517724,0.00380208511,45.28503144730,1994169N06152,"1994","34",WP,MM,SHARON,1994-06-23 00:00:00,TS,14.80,120.90,,"1004",tokyo,main,"0","0",OOO____________,jtwc_wp,WP061994,14.90,121.30,,,"25",,"-1",,,,,,,,,,,,,,,,,15.00,120.80,"2",,"1004","0",,,"0",,,"0",14.50,120.50,"1","23","1004",,,,,,,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","295","1994","6","23","0","0"
Paombong,PH0301416,Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.40674517724,0.00380208511,45.28503144730,2022299N11134,"2022","100",WP,MM,NALGAE,2022-10-29 12:00:00,TS,14.60,121.10,"50","985",tokyo,main,"0","0",OOOOO__________,jtwc_wp,WP262022,14.60,121.00,,TS,"45","993","0","150","125","80","250",,,,,,,,,"1005","300","25",,14.70,121.10,"4","50","985","0",,,"8","400","350","0",14.50,121.10,"3","54","982",14.60,121.10,ST,"50","984",14.60,121.10,STS,"52","985","135","43","32","135","189","146",,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","315","2022","10","29","12","0"
Lubao,PH0305408,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.69793529957,0.01386032098,165.01810104400,1980300N08137,"1980","89",WP,MM,CARY,1980-10-29 06:00:00,TS,14.50,121.20,,"1002",tokyo,main,"0","0",OOOO______OP___,jtwc_wp,WP261980,14.50,121.00,,,"25",,"-1",,,,,,,,,,,,,,,,,15.00,121.50,"2",,"1002","0",,,"0",,,"0",14.30,121.40,"1","29","1000",14.10,121.50,TD,"25","1002",,,,,,,,,,,,,,,,,-999.90,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,-999.90,-999.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50,121.00,TC,"25",,14.50,120.90,"1","28",,,,,,,,,,,,,,,,,,,,,,,,,,,"16","295","1980","10","29","6","0"
